1 1 19 4 0 44 42 0 0 0 0 0 0 0 0 9 4.03629721711 0.448477468568 -4.19177347592e-05 2.03797226191e-08 -0.000377259612833 
1 2 19 4 0 44 42 0 0 0 0 0 0 0 0 9 4.00478493717 0.44497610413 -5.33442780108e-06 3.362984543e-10 -4.80098502097e-05 
1 3 19 4 0 44 42 0 0 0 0 0 0 0 0 9 4.00064505207 0.444516116897 -7.1704818965e-07 6.0624231714e-12 -6.45343370685e-06 
1 4 19 4 0 44 42 0 0 0 0 0 0 0 0 9 4.00008717691 0.444454130768 -9.68691471244e-08 1.10607798877e-13 -8.71822324119e-07 
1 5 19 4 0 44 42 0 0 0 0 0 0 0 0 9 4.00001178569 0.444445753965 -1.30953183584e-08 2.02129043238e-15 -1.17857865226e-07 
2 1 4 0 0 10 12 0 0 0 0 0 0 0 0 5 4.03173639968 0.806347279936 -6.51261242986e-05 6.40795634303e-08 -0.000325630621493 
2 2 4 0 0 10 12 0 0 0 0 0 0 0 0 5 4.00420577915 0.800841155829 -8.43633029983e-06 1.07139664513e-09 -4.21816514992e-05 
2 3 4 0 0 10 12 0 0 0 0 0 0 0 0 5 4.00056717537 0.800113435074 -1.13480115265e-06 1.93518365587e-11 -5.67400576327e-06 
2 4 4 0 0 10 12 0 0 0 0 0 0 0 0 5 4.00007665572 0.800015331144 -1.53319663878e-07 3.53163756348e-13 -7.66598319388e-07 
2 5 4 0 0 10 12 0 0 0 0 0 0 0 0 5 4.00001036337 0.800002072673 -2.07268821844e-08 6.45408319263e-15 -1.03634410922e-07 
3 1 67 26 0 201 209 2 4 4 2 0 0 0 2 22 10.2403633537 0.465471061531 4.51987255476e-05 5.59440610439e-07 0.000994371962046 
3 2 67 26 0 201 209 2 4 4 2 0 0 0 2 22 10.5324496841 0.478747712914 5.44246272107e-05 5.67276380807e-07 0.00119734179864 
3 3 67 26 0 201 209 2 4 4 2 0 0 0 2 22 10.6501810986 0.484099140844 8.47170445501e-06 1.86785880193e-08 0.00018637749801 
3 4 67 26 0 201 209 2 4 4 2 0 0 0 2 22 10.665010142 0.484773188271 8.70985907847e-07 2.11227935995e-10 1.91616899726e-05 
3 5 67 26 0 201 209 2 4 4 2 0 0 0 2 22 10.6665037149 0.484841077951 8.59228312188e-08 2.0649625886e-12 1.89030228681e-06 
4 1 2 0 0 7 7 0 0 0 0 0 0 0 0 6 4.00247876067 0.667079793444 -1.24498301029e-05 5.51631708541e-10 -7.46989806175e-05 
4 2 2 0 0 7 7 0 0 0 0 0 0 0 0 6 4.00000604852 0.666667674753 -3.02450585539e-08 3.34478447832e-15 -1.81470351324e-07 
4 3 2 0 0 7 7 0 0 0 0 0 0 0 0 6 4.00000001486 0.666666669143 -7.42820601059e-11 2.01858844423e-20 -4.45692360635e-10 
4 4 2 0 0 7 7 0 0 0 0 0 0 0 0 6 4.00000000004 0.666666666673 -1.8248379864e-13 1.21801031768e-25 -1.09490279184e-12 
4 5 2 0 0 7 7 0 0 0 0 0 0 0 0 6 4.0 0.666666666667 -2.57646926484e-16 1.17548963436e-30 -1.54588155891e-15 
5 1 22 38 0 27 45 0 0 0 0 0 0 0 0 9 4.0311105452 0.447901171689 -3.7673551838e-05 3.55161996559e-08 -0.000339061966542 
5 2 22 38 0 27 45 0 0 0 0 0 0 0 0 9 4.00399876805 0.444888752006 -4.46060956438e-06 5.92199241717e-10 -4.01454860794e-05 
