w scaling repl S1 S2 S3 S4 S5 D1 D2 D3 D4 D5 D6 D7 D8 s bm bmm prome prova prosu compratio prank
20 False 2 0.0601941747572816 0.040890919474586 0 0.792461450599657 0.102113078241005 0.00137064534551685 0.00251284980011422 0 0 0 0.000456881781838949 0 0 154 2.22431802694667 0.0144436235516 0.00185135663718 0.000253914789411 0.285108922125333 7.76062639821029 1
20 True 2 0.0601941747572816 0.040890919474586 0 0.792461450599657 0.102113078241005 0.00137064534551685 0.00251284980011422 0 0 0 0.000456881781838949 0 0 154 2.56257874182 0.0166401217001333 0.00219643732799667 0.000333071874678333 0.338251348511667 7.76062639821029 2
23 False 2 0.0818158502180046 0.164657604513978 0 0.171582457040267 0.239292126186202 0.114901256732496 0.0872018466273403 0.0235957937932803 0.0228263657348038 0.00333418825339831 0.0774557578866376 0.00923313670171839 0.00410361631187484 30 2.41778630975 0.0805928769917333 0.0113700313629333 0.000802978456221667 0.341100940888333 0.717041800643087 3
23 True 2 0.0818158502180046 0.164657604513978 0 0.171582457040267 0.239292126186202 0.114901256732496 0.0872018466273403 0.0235957937932803 0.0228263657348038 0.00333418825339831 0.0774557578866376 0.00923313670171839 0.00410361631187484 30 3.06470974301333 0.102156991433667 0.0160496208693667 0.00162374335469333 0.481488626081333 0.717041800643087 4
6 False 1.75 0.129542790152403 0.15767878077374 0 0.386283704572098 0.326494724501758 0 0 0 0 0 0 0 0 23 2.382263344065 0.103576667133 0.014292834191975 0.00094899454005375 0.32873518641575 1.18312387791741 5
6 True 1.75 0.129542790152403 0.15767878077374 0 0.386283704572098 0.326494724501758 0 0 0 0 0 0 0 0 23 2.7604010029175 0.1200174349095 0.01759969732785 0.0015320891469275 0.4047930385405 1.18312387791741 6
27 True 1 0.0928051320249913 0.0695316419135643 0 0.18475898028366 0.61236185640667 0.0204764148792241 0.00723591201374215 0.00806439353632397 0.000478847118556466 0.000228022437407841 0.00336713132572245 0.000205220193667057 0.000486447866470061 181 23.9603138787 0.132377424744 0.0265096357275 0.00527175338292 4.79824406668 0.301715363801107 7
7 False 1.75 0.0863422291993721 0.0408163265306122 0 0.433281004709576 0.43956043956044 0 0 0 0 0 0 0 0 27 4.4485821193 0.16476230071475 0.0211180310229 0.002614360413345 0.5701868376185 0.985714285714286 8
19 False 2 0.0977523539536296 0.03184165232358 0 0.178495494583376 0.667814113597246 0.0156930241976309 0.0040498126961628 0.00106307583274274 0 0 0.00329047281563228 0 0 75 12.4021024962333 0.165361366616667 0.0313071851517667 0.00239576632612333 2.34803888638333 0.26728320194057 9
7 True 1.75 0.0863422291993721 0.0408163265306122 0 0.433281004709576 0.43956043956044 0 0 0 0 0 0 0 0 27 5.07700740403 0.1880373112605 0.024719499661675 0.0033712679069575 0.66742649086475 0.985714285714286 10
9 False 1.75 0.0753186558516802 0.0139049826187717 0 0.476245654692932 0.434530706836616 0 0 0 0 0 0 0 0 37 7.0076394716575 0.189395661396 0.025454429489925 0.0023879954796925 0.94181389112675 1.096 11
