w repl scaling L S1 S2 S3 S4 S5 D1 D2 D3 D4 D5 D6 D7 D8 S b bm bprod bpred tlav tlvar tlmax tlmed dsk odsk idsk pp tp w_s repl_s scaling_s L_s S1_s S2_s S3_s S4_s S5_s D1_s D2_s D3_s D4_s D5_s D6_s D7_s D8_s S_s b_s bm_s bprod_s bpred_s compratio co prank
97 0 0 54 0.143312101910828 0.168789808917197 0 0.210191082802548 0.10828025477707 0.14968152866242 0.105095541401274 0.0159235668789809 0.00955414012738853 0 0.0796178343949045 0.00318471337579618 0.00636942675159236 12 36.4022 0.481946385376302 0.682325618667807 0.458159690308139 2.33333333333 0.388888888889 2 3 -0.400413815698 -0.297463101524 -0.503211036844 0.0833333333333 0.166666666667 97 3 0 54 45 53 0 66 34 47 33 5 3 0 25 1 2 12 0.648947074786 0.05407892289884 0.4146814634136 0.02129687376114 0.468521082957745 0.375 26
33 0 0 269 0.141633881046054 0.112473964360102 0 0.323304790557741 0.329784772043508 0.0407313121962509 0.0249942143022449 0.00856283267762092 0.00833140476741495 0.000694283730617912 0.00763712103679704 0.000694283730617912 0.00115713955102985 38 118.79656 0.495020268316131 0.848072057313767 0.445614254417408 2.47368421053 0.407202216066 3 3 0.587447626098 0.896672886486 0.724851273525 0.0789473684211 0.105263157895 33 3 0 269 612 486 0 1397 1425 176 108 37 36 3 33 3 5 38 2.29436799169 0.06037810504446 0.6087235205354 0.01337706943098 0.2967421450738 0.186288088642659 27
55 0 0 274 0.151038101756788 0.112251882272416 0 0.302988820442619 0.334245950262377 0.0433493041295916 0.026237736710016 0.0111795573807894 0.00775724389687429 0.000456308464522017 0.0082135523613963 0.000912616929044034 0.00136892539356605 38 118.94976 0.495579973500043 0.848098757912364 0.446289283102393 2.47368421053 0.407202216066 3 3 0.557726670756 0.843653544016 0.675596498175 0.0789473684211 0.105263157895 55 3 0 274 662 492 0 1328 1465 190 115 49 34 2 36 4 6 38 2.293770308728 0.0603623765455 0.6085531077478 0.01337459958532 0.280233311010877 0.189750692520776 28
29 0 0 419 0.0769745649263722 0.161981258366801 0 0.404841588576528 0.272757697456493 0.0315707273538599 0.0322400713966979 0.0072512271307452 0.00446229361892013 0.00122713074520303 0.00580098170459616 0.000334672021419009 0.000557786702365016 43 146.13534425 0.531286811390975 1.69019608002851 0.364127993267329 2.62790697674 0.280151433207 3 3 0.548740799165 1.55461091782 1.10244069632 0.0232558139535 0 29 3 0 419 690 1452 0 3629 2445 283 289 65 40 11 52 3 5 43 0.341722407959 0.007947032743232 0.1917751941482 0.0035701717574 0.395195924122607 0.226608977825852 29
6 0 0 13 0.15625 0.0625 0 0.359375 0.421875 0 0 0 0 0 0 0 0 8 27.438 0.535262464772382 0.71904110786986 0.451402613597493 2.125 0.609375 2 3 0.0724470738539 0.384793782062 -0.316163941779 0.25 0.25 6 4.25 0 13 10 4 0 23 27 0 0 0 0 0 0 0 0 8 0.65908632571645 0.08238579071456 0.18510470069675 0.04814615405378 0.267606240177031 0.203125 30
11 0 0 146 0.142857142857143 0.203585887796414 0 0.317524580682475 0.296703296703297 0.00867553499132447 0.0271833429728167 0 0 0 0.00289184499710815 0 0.000578368999421631 24 82.42971 0.535872530222097 0.57541879121436 0.532092244046445 2.45833333333 0.414930555556 3 3 -0.483882276256 0.521121161373 0.339326634075 0.0833333333333 0.0416666666667 11 4.25 0 146 247 352 0 549 513 15 47 0 0 0 5 0 1 24 1.374383939403 0.05726599747515 0.45957236728925 0.02069269112842 0.316007151633634 0.253472222222222 31
87 0 0 37 0.113924050632911 0.118143459915612 0 0.350210970464135 0.291139240506329 0.0590717299578059 0.0506329113924051 0 0 0 0.0168776371308017 0 0 12 44.952 0.573567773039219 1.22271647114758 0.40965651242029 2.58333333333 0.409722222222 3 3 0.205328500559 0.708746718642 0.469966456764 0.0833333333333 0.166666666667 87 3 0 37 27 28 0 83 69 14 12 0 0 0 4 0 0 12 0.3421443265878 0.02851202721564 0.1945947742574 0.0134135956664 0.342994497207517 0.256944444444444 32
28 0 0 423 0.0772090988626422 0.162182852143482 0 0.413604549431321 0.270450568678915 0.0288713910761155 0.0309492563429571 0.00568678915135608 0.00393700787401575 0.00120297462817148 0.00535870516185477 0.000328083989501312 0.000218722659667542 43 167.61949875 0.590856082026272 1.69019608002851 0.45090679410633 2.62790697674 0.280151433207 3 3 0.482274238972 1.34312839015 1.04134169339 0.0232558139535 0.0232558139535 28 3 0 423 706 1483 0 3782 2473 264 283 52 36 11 49 3 2 43 0.3411595279068 0.007933942509458 0.1909133336896 0.003577290338508 0.403003197668141 0.228772309356409 33
49 0 0 20 0.0588235294117647 0.166666666666667 0 0.46078431372549 0.254901960784314 0.0196078431372549 0.0294117647058824 0 0 0 0.00980392156862745 0 0 8 32.627 0.610487155954899 0.732393759822969 0.589901751335757 2.375 0.484375 2.5 3 0.265165042945 -0.444444444444 0.167705098312 0.125 0.375 49 3 0 20 6 17 0 47 26 2 3 0 0 0 1 0 0 8 0.3399611449592 0.04249514311992 0.1912120705004 0.02124986777986 0.448349512149638 0.3125 34
14 0 0 214 0.13778075762655 0.119007710358699 0 0.421387864565873 0.233322158900436 0.0331880657056654 0.0402279584311096 0.00603419376466644 0.00167616493462957 0 0.00670465973851827 0 0.000670465973851827 37 158.60480927 0.632114627942387 1.33034273806873 0.519684802082308 2.72972972973 0.413440467495 3 4 1.05838851473 1.43303068539 1.39168689403 0.0540540540541 0 14 3.26666666666667 0 214 411 355 0 1257 696 99 120 18 5 0 20 0 2 37 1.39843775239667 0.0377956149296667 0.4662131584464 0.0133146124429867 0.448093003677292 0.156318480642805 35
10 0 0 154 0.0875065893516078 0.226146547179758 0 0.346863468634686 0.289404322614655 0.0200316288877174 0.0226673695308382 0.00263574064312072 0.00105429625724829 0.000527148128624143 0.00105429625724829 0 0.00210859251449657 24 104.30195 0.638081186238304 1.44163858728903 0.00743786340332022 2.125 0.359375 2 3 -0.589970386496 0.591221620126 0.945351067104 0.125 0.0416666666667 10 4.25 0 154 166 429 0 658 549 38 43 5 2 1 2 0 4 24 2.615794422145 0.1089914342561 0.71683556941865 0.022156557804265 0.342134925647257 0.267361111111111 36
2 0 0 235 0.159075224292616 0.181159420289855 0.0010351966873706 0.210489993098689 0.220151828847481 0.0821256038647343 0.0717736369910283 0.0217391304347826 0.0082815734989648 0.0041407867494824 0.0279503105590062 0.00586611456176674 0.0062111801242236 28 122.712 0.641729003095782 1.24994396946815 0.525299026745107 2.25 0.330357142857 2 3 1.1126918321 0.312382254788 0.216659496973 0.0714285714286 0 2 3.95652173913043 0 235 461 525 3 610 638 238 208 63 24 12 81 17 18 28 1.39715635610174 0.0498984412893522 0.469889330387957 0.0175914498202304 0.291393906625243 0.299744897959184 37
69 0 0 213 0.138082376772451 0.117825793382849 0 0.428426738690074 0.227211343686698 0.0330857528696826 0.0405131667792032 0.00573936529372046 0.00168804861580013 0 0.00675219446320054 0 0.000675219446320054 37 166.521848616 0.653269499426569 1.31876223696637 0.55233736806643 2.72972972973 0.413440467495 3 4 1.05819371227 1.27810221549 1.3729211664 0.0540540540541 0.027027027027 69 3 0 213 409 349 0 1269 673 98 120 17 5 0 20 0 2 37 1.40557760653 0.03798858396024 0.4697132556096 0.01331860272314 0.460234161348009 0.155588020452885 38
68 0 0 213 0.138082376772451 0.117825793382849 0 0.428426738690074 0.227211343686698 0.0330857528696826 0.0405131667792032 0.00573936529372046 0.00168804861580013 0 0.00675219446320054 0 0.000675219446320054 37 168.0861164 0.65733011893886 1.31876223696637 0.557744706173345 2.72972972973 0.413440467495 3 4 1.05819371227 1.27810221549 1.3729211664 0.0540540540541 0.027027027027 68 3 0 213 409 349 0 1269 673 98 120 17 5 0 20 0 2 37 1.40618479331 0.03800499441378 0.4700531266706 0.01331652971336 0.460234161348009 0.155588020452885 39
9 0 0 87 0.0548086866597725 0.112719751809721 0 0.509824198552223 0.207859358841779 0.0330920372285419 0.0289555325749741 0.0113753877973113 0.0175801447776629 0.00103412616339193 0 0 0.0227507755946225 18 86.1725 0.680096187592139 0.921686475483602 0.637692944787153 2.05555555556 0.274691358025 2 3 0.522014736888 -0.30505241207 0.585869081615 0.111111111111 0.277777777778 9 4.25 0 87 53 109 0 493 201 32 28 11 17 1 0 0 22 18 1.1364487395955 0.06313604108865 0.35035732953965 0.02723338003227 0.538163413034366 0.268518518518519 40
51 0 0 21 0.0441176470588235 0.132352941176471 0 0 0.0588235294117647 0.323529411764706 0.176470588235294 0.0147058823529412 0 0 0.25 0 0 6 30.969 0.712775931676611 0.806179973983887 0.69141747598126 2 0.333333333333 2 3 -1.41421356237 -0.580547281756 -0.3577708764 0.166666666667 0 51 3 0 21 3 9 0 0 4 22 12 1 0 0 17 0 0 6 0.7696194640072 0.1282699106678 0.5441596159202 0.04509196961736 0 0.583333333333333 41
95 0 0 372 0.0915477497255763 0.0771679473106476 0 0.500987925356751 0.31152579582876 0.00625686059275521 0.0102085620197585 0.00021953896816685 0.000658616904500549 0 0.00142700329308452 0 0 51 272.30977594 0.727493056723963 1.88535179513561 -0.0588740884431017 2.54901960784 0.36524413687 3 3 0.867287820961 0.781961218271 1.46678480055 0.0588235294118 0.156862745098 95 3 0 372 834 703 0 4564 2838 57 93 2 6 0 13 0 0 51 1.836688349 0.03601349703922 0.4231152293218 0.01181963877158 0.416336689637638 0.143021914648212 42
86 0 0 108 0.0818363273453094 0.25249500998004 0 0.281437125748503 0.259481037924152 0.06187624750499 0.0419161676646707 0.00499001996007984 0.00199600798403194 0.000998003992015968 0.00698602794411178 0.000998003992015968 0.00499001996007984 18 100.7536 0.747988067647165 1.59772260264102 0.129299076897654 2.11111111111 0.320987654321 2 3 -1.21365217075 0.323335695183 0.602797438024 0.111111111111 0.0555555555556 86 3 0 108 82 253 0 282 260 62 42 5 2 1 7 1 5 18 1.56228504925 0.0867936138473 0.5822285627818 0.02486424523048 0.319025938567569 0.333333333333333 43
52 0 0 87 0.075070821529745 0.205382436260623 0 0.198300283286119 0.247875354107649 0.147308781869688 0.0694050991501416 0.0028328611898017 0.00424929178470255 0 0.0481586402266289 0 0.00141643059490085 15 84.63702 0.7514691047524 0.921738483684599 0.718150355287605 2.06666666667 0.328888888889 2 3 -0.0947028167394 0.487669437444 0.72691863636 0.133333333333 0 52 3 0 87 53 145 0 140 175 104 49 2 3 0 34 0 1 15 1.196113831816 0.07974092212108 0.3722847496164 0.03473417942948 0.255272505103306 0.386666666666667 44
90 0 0 35 0.144654088050314 0.20125786163522 0 0.20125786163522 0.10062893081761 0.169811320754717 0.132075471698113 0 0 0 0.050314465408805 0 0 10 56.7262 0.753783691826536 1.14493208066012 0.556350753029089 2.1 0.49 2 3 -0.372203597529 -0.77296177 0.845929491308 0.2 0 90 3 0 35 23 32 0 32 16 27 21 0 0 0 8 0 0 10 1.650336851982 0.1650336851982 0.6123816658566 0.05319669003362 0.477121254719662 0.35 45
67 0 0 553 0.0747181489941788 0.15076265566281 0 0.395991452361654 0.295335642178174 0.027558765013632 0.0319799572618083 0.00589492299756834 0.00648441529732518 0.000442119224817626 0.00810551912165647 0.0017684768992705 0.000957924987104856 49 286.407169 0.766787804481106 1.61971926561173 0.249238220570218 2.16326530612 0.340691378592 2 3 -0.0329198889471 0.225576927481 0.571710488014 0.102040816327 0.102040816327 67 3 0 553 1014 2046 0 5374 4008 374 434 80 88 6 110 24 13 49 2.50659303235 0.05115495984386 0.3129398537396 0.02140667644664 0.36936771575195 0.230320699708455 46
5 0 0 440 0.0911709455228554 0.221540388227927 0.00150281778334377 0.23055729492799 0.285911083281152 0.0715090795241077 0.0542266750156544 0.012773951158422 0.00951784596117721 0.0026299311208516 0.0135253600500939 0.0023794614902943 0.00275516593613024 36 224.1898 0.794313348773758 1.52633927738984 0.736031609967278 2.58333333333 0.298611111111 3 3 -0.135759743246 0.261789271844 -0.150727446845 0.0277777777778 0 5 3.26666666666667 0 440 728 1769 12 1841 2283 571 433 102 76 21 108 19 22 36 0.575741045146733 0.01599280680962 0.355115602672267 0.006303584070696 0.256812745121244 0.339506172839506 47
37 0 0 318 0.121131573951016 0.12682741598633 0.000569584203531422 0.342130244921208 0.277767229922157 0.0505031327131194 0.0366432504271882 0.0163280805012341 0.00949307005885703 0.000949307005885703 0.0146193278906398 0.000949307005885703 0.00208847541294855 36 225.0198 0.795918233576993 1.61237055073097 0.720888541898774 2.58333333333 0.409722222222 3 3 -0.37156762507 0.11839206386 0.736127422843 0.0277777777778 0 37 3 0 318 638 668 3 1802 1463 266 193 86 50 5 77 5 11 36 0.597198636757 0.01658885102102 0.3715107319426 0.006448225851842 0.348638859485782 0.24537037037037 48
66 0 0 546 0.0753783905289974 0.149707777611269 0 0.393451221339727 0.300314701034018 0.0272740896148659 0.0315450322193916 0.00606923422748389 0.00546980368649783 0.000224786452869774 0.0080173834856886 0.00164843398771167 0.000899145811479095 49 310.65991 0.802089132064411 1.60110349093113 0.402261030641608 2.18367346939 0.354019158684 2 3 0.0227214675203 0.245654395091 0.591363702975 0.102040816327 0.0816326530612 66 3 0 546 1006 1998 0 5251 4008 364 421 81 73 3 107 22 12 49 2.50238356551 0.05106905235736 0.3123804080276 0.0213745801221 0.363636371238121 0.227405247813411 49
53 0 0 93 0.0626598465473146 0.18542199488491 0 0.153452685421995 0.276214833759591 0.18925831202046 0.051150895140665 0.00767263427109974 0.00383631713554987 0 0.0664961636828645 0.00255754475703325 0.00127877237851662 15 98.472 0.817221499622837 0.907330729314398 0.801535630215571 2.06666666667 0.328888888889 2 3 0.248459623365 0.633256435681 1.0164347756 0.133333333333 0 53 3 0 93 49 145 0 120 216 148 40 6 3 0 52 2 1 15 1.225224073422 0.08168160489474 0.3841002138056 0.03515566506228 0.191885526238913 0.413333333333333 50
