111 1 0.0 9 6 5 0 104 39 2 2.83093975348e-45 7 0 
111 1 0.0 8 7 3 0 74 19 3 3.63439627974e-77 5 0 
111 1 0.0 11 5 2 0 94 21 3 1.11664693179e-77 5 0 
111 1 0.0 10 0 8 0 140 48 2 1.1212657305e-42 8 0 
111 1 0.0 13 0 13 0 130 55 2 5.62743502473e-65 9 0 
111 1 0.0 12 6 6 0 116 52 2 3.10175822849e-49 8 0 
111 1 0.0 15 7 22 0 127 83 2 1.14362061798e-49 3 9 
111 1 0.0 14 1 4 0 110 17 2 2.85088988072e-19 5 0 
111 1 0.0 17 0 1 0 76 7 2 0.028773325025 3 0 
111 1 0.0 16 7 13 0 72 48 3 7.51393727724e-79 4 4 
111 1 0.0 19 4 5 0 53 57 2 0.00281280113917 1 5 
111 1 0.0 18 2 0 0 42 25 2 0.0104478729871 1 2 
111 1 0.0 24 0 1 0 37 17 2 0.014148999846 1 1 
111 1 0.0 31 0 1 0 80 14 2 0.376939081125 4 0 
111 1 0.0 25 7 21 0 221 115 2 3.46576138439e-29 1 15 
111 1 0.0 30 0 6 0 116 13 2 9.48672922618e-58 5 0 
111 1 0.0 26 5 9 0 120 109 2 2.22965336767e-05 1 10 
111 1 0.0 27 30 31 0 299 54 1 0.168626083302 0 19 
111 1 0.0 20 1 0 0 30 1 3 2.17191804167e-78 1 0 
111 1 0.0 21 9 15 0 129 93 2 2.64510697377e-55 1 11 
111 1 0.0 22 2 0 0 74 16 2 0.123949732242 4 0 
111 1 0.0 23 2 2 0 50 57 2 0.00374779173685 1 4 
111 1 0.0 28 0 0 0 36 70 1 0.40362563923 0 6 
111 1 0.0 29 0 0 0 25 52 1 0.345699383679 0 5 
111 1 0.0 1 1 0 0 6 1 3 8.02582625936e-78 1 0 
111 1 0.0 3 1 5 0 124 39 2 5.86873573542e-14 7 0 
111 1 0.0 2 2 0 0 8 4 3 8.2209599378e-76 2 0 
111 1 0.0 5 1 0 0 39 5 2 0.0106719341768 1 1 
111 1 0.0 4 2 1 0 45 19 2 1.75808520784e-06 1 3 
111 1 0.0 7 0 3 0 94 10 2 1.76824793979e-52 4 0 
111 1 0.0 6 0 0 0 38 1 2 0.01488539859 1 0 
111 1 2.0 9 6 5 0 104 39 2 1.73260059102e-36 7 0 
111 1 2.0 8 7 3 0 74 19 3 2.83241917183e-53 5 0 
111 1 2.0 11 5 2 0 94 21 3 5.17495719449e-55 5 0 
111 1 2.0 10 0 8 0 140 48 2 1.92881873608e-37 8 0 
111 1 2.0 13 0 13 0 130 55 2 2.42058644266e-55 9 0 
111 1 2.0 12 6 6 0 116 52 2 9.29407663936e-40 8 0 
111 1 2.0 15 7 22 0 127 83 2 2.61271285735e-43 3 9 
111 1 2.0 14 1 4 0 110 17 2 9.18225886181e-14 5 0 
111 1 2.0 17 0 1 0 76 7 2 0.0379304151703 3 0 
111 1 2.0 16 7 13 0 72 48 3 2.28574039327e-57 4 4 
111 1 2.0 19 4 5 0 53 57 2 0.00287726686293 1 5 
111 1 2.0 18 2 0 0 42 25 2 0.0183920153491 1 2 
111 1 2.0 24 0 1 0 37 17 2 0.0165320331354 1 1 
111 1 2.0 31 0 1 0 80 14 2 0.465289936323 4 0 
111 1 2.0 25 7 21 0 221 115 2 5.43546123715e-44 1 15 
111 1 2.0 30 0 6 0 116 13 2 8.82986599883e-50 5 0 
111 1 2.0 26 5 9 0 120 109 2 4.50113328048e-05 1 10 
111 1 2.0 27 30 31 0 299 54 1 0.109135283881 0 19 
111 1 2.0 20 1 0 0 30 1 3 4.15829421053e-55 1 0 
111 1 2.0 21 9 15 0 129 93 2 6.95023661874e-75 1 11 
111 1 2.0 22 2 0 0 74 16 2 0.211099736672 4 0 
111 1 2.0 23 2 2 0 50 57 2 0.00482410453424 1 4 
111 1 2.0 28 0 0 0 36 70 1 0.295011593908 0 6 
111 1 2.0 29 0 0 0 25 52 1 0.225148604023 0 5 
